title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
Inception,2010-07-15,23270459,Q25188,8.364,83.952,825532764,578738
The Dark Knight,2008-07-16,4276475,Q163872,8.512,130.643,1004558444,667717
Avengers: Infinity War,2018-04-25,44240443,Q23780914,8.255,154.34,2052415039,294257
Fight Club,1999-10-15,1009041,Q190050,8.438,69.498,100853753,486499
Pulp Fiction,1994-09-10,54173,Q104123,8.488,74.862,213900000,713026
Forrest Gump,1994-06-23,41528,Q134773,8.477,92.693,677387716,749675
Django Unchained,2012-12-25,31638720,Q571032,8.171,54.224,425368238,579113
The Shawshank Redemption,1994-09-23,30625,Q172241,8.702,122.61,28341469,828872
Avengers: Endgame,2019-04-24,44254295,Q23781155,8.263,91.756,2800000000,580801
The Matrix,1999-03-30,30007,Q83495,8.206,78.564,463517383,738386
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,173941,Q127367,8.402,87.037,871368364,428744
The Lord of the Rings: The Return of the King,2003-12-01,174251,Q131074,8.474,99.276,1118888979,344635
Avengers: Age of Ultron,2015-04-22,36484254,Q14171368,7.276,96.565,1405403694,220989
Captain America: Civil War,2016-04-27,41974496,Q18407657,7.4,70.741,1155046416,260067
The Dark Knight Rises,2012-07-17,29075630,Q189330,7.777,76.914,1081041287,569865
Iron Man 3,2013-04-18,22144990,Q209538,6.928,61.06,1215577205,210561
Mad Max: Fury Road,2015-05-13,36426373,Q1757288,7.582,78.319,378858340,1362978
Inglourious Basterds,2009-08-19,633052,Q153723,8.215,59.162,321457747,610686
Spider-Man: Homecoming,2017-07-05,45359871,Q23010088,7.345,65.88,880166924,303811
Guardians of the Galaxy Vol. 2,2017-04-19,43402974,Q20001199,7.624,67.553,863756051,195023
The Lord of the Rings: The Two Towers,2002-12-18,173944,Q164963,8.385,78.73,926287400,250593
Captain America: The First Avenger,2011-07-22,26999426,Q275120,6.995,43.665,370569774,202405
Iron Man 2,2010-04-28,22144721,Q205028,6.835,84.445,623933331,228631
Batman Begins,2005-06-10,481605,Q166262,7.701,66.286,374218673,390752
Thor: Ragnarok,2017-10-02,41974555,Q22665878,7.595,45.2,855301806,206541
Jurassic World,2015-06-06,2615708,Q3512046,6.682,54.089,1671537444,408728
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,321496,Q46717,7.794,80.509,655011224,306835
The Godfather,1972-03-14,2466773,Q47703,8.707,158.448,245066411,1090038
Back to the Future,1985-07-03,42993,Q91540,8.314,62.543,381109762,598683
Star Wars: The Force Awakens,2015-12-15,14723194,Q6074,7.293,66.772,2068223624,390611
Spider-Man: No Way Home,2021-12-15,52239333,Q68934496,7.99,186.065,1921847111,716052
Captain America: The Winter Soldier,2014-03-20,36439749,Q1765358,7.671,31.482,714766572,193243
The Hobbit: An Unexpected Journey,2012-12-12,36914424,Q80379,7.339,83.524,1021103568,166808
Batman v Superman: Dawn of Justice,2016-03-23,2619910,Q14772351,5.952,78.589,873637528,277785
The Truman Show,1998-06-04,232711,Q214801,8.133,42.954,264118201,637720
Thor: The Dark World,2013-10-30,32267545,Q1201853,6.538,59.968,644783140,123297
Deadpool 2,2018-05-10,47495546,Q25431158,7.492,66.096,785896609,968216
The Hunger Games: Catching Fire,2013-11-15,36012788,Q574583,7.4,49.864,865011746,228351
The Intouchables,2011-11-02,33590333,Q595,8.277,41.656,426588510,96167
Get Out,2017-02-24,48526729,Q25136235,7.62,36.442,255407969,645326
The Imitation Game,2014-11-14,40281611,Q14918344,8.007,47.491,233555708,335875
The Hangover,2009-06-02,21918632,Q219315,7.312,72.655,469310836,314623
The Empire Strikes Back,1980-05-20,53964,Q181795,8.4,35.265,538400000,368125
Kingsman: The Secret Service,2014-12-13,39321645,Q15068238,7.636,56.288,414351546,358136
La La Land,2016-11-29,47204682,Q20856802,7.897,32.009,447407695,562141
Jurassic Park,1993-06-11,68485,Q167726,7.941,24.213,920100000,641219
Pirates of the Caribbean: Dead Man's Chest,2006-07-06,999394,Q161087,7.346,69.403,1065659812,240545
Saving Private Ryan,1998-07-24,28269,Q165817,8.209,59.745,481840909,610132
Baby Driver,2017-06-28,45051683,Q23016644,7.5,44.974,226945087,499866
Schindler's List,1993-12-15,65834,Q483941,8.573,65.084,321365567,618427
Return of the Jedi,1983-05-25,50744,Q181803,7.892,40.104,572700000,306600
Spider-Man: Far From Home,2019-06-28,52179698,Q27985819,7.447,49.913,1131927996,248739
X-Men: Days of Future Past,2014-05-15,36613262,Q4985891,7.5,60.194,747862775,441803
Catch Me If You Can,2002-12-16,215873,Q208108,7.971,44.814,352114312,507751
Star Wars: The Last Jedi,2017-12-13,43910621,Q18486021,6.825,47.241,1332698830,297389
Spider-Man 2,2004-06-25,612052,Q190145,7.258,24.172,788976453,252429
Spider-Man: Into the Spider-Verse,2018-12-06,47069739,Q29588607,8.404,80.675,375464627,429430
The Departed,2006-10-04,1349086,Q172975,8.166,42.503,291465000,550529
The Grand Budapest Hotel,2014-02-26,38041226,Q3521099,8.049,33.966,174600318,279766
Eternal Sunshine of the Spotless Mind,2004-03-19,537024,Q208269,8.101,54.124,72258126,573665
Léon: The Professional,1994-09-14,40672,Q484675,8.316,58.625,45284974,427781
Pirates of the Caribbean: At World's End,2007-05-19,1689394,Q54274,7.239,81.883,961000000,241579
The Hobbit: The Battle of the Five Armies,2014-12-10,42573309,Q919649,7.309,94.048,956019788,160528
Reservoir Dogs,1992-09-02,297111,Q72962,8.132,34.018,2859750,335151
The Hateful Eight,2015-12-25,43308964,Q18225084,7.746,32.119,155760117,470808
Pirates of the Caribbean: On Stranger Tides,2011-05-15,24314116,Q183555,6.538,79.192,1045713802,256795
Spider-Man 3,2007-05-01,702117,Q182212,6.398,61.149,894983373,265103
A Quiet Place,2018-04-03,54470227,Q39070473,7.396,38.002,341000000,1249263
